Show,Organization,Venue,Start,End,Email,Email Source,Address,City,State,Postal,Country,Website,Phone,Facebook,Instagram,Licensor/Source,Source URL,Date Type,Venue Type,First Seen
Disney's Beauty And The Beast Jr,St Cletus School,St Cletus School,2027-04-22,2027-04-24,admissions@stcletusparish.com,Production,"700 West 55th Street, La Grange, IL 60525",La Grange,IL,60525,US,http://www.stcletusschool.com,(708) 352-4820,,https://instagram.com/stcletusschool,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
Disney's Aladdin Jr.,St Matthew Catholic School,St Matthew Catholic School,2027-04-22,2027-04-24,office@stmatthewcath.org,Production,"910 South El Camino Real, San Mateo, CA 94402",San Mateo,CA,94402,US,http://www.stmatthewcath.org/,(650) 343-1373,https://www.facebook.com/stmatthewcath,https://www.instagram.com/stmatthewcath/,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
Disney's The Little Mermaid Jr,St Patricks School,St Patricks School,2027-04-22,2027-04-22,lcross@stpatricksd.org,Organizations,"117 Moseman Ave, Yorktown Heights, NY 10598",Yorktown Heights,NY,10598,US,,,,,MTI,https://www.mtishows.com/shows,performance run,School,2026-08-18
In Transit,Texas Wesleyan University,The Thad Smotherman Theatre,2027-04-22,2027-04-25,theatre@txwes.edu,Production,"1201 Wesleyan Street, Ft Worth, TX 76105",Ft Worth,TX,76105,US,http://www.txwes.edu/theatre,(817)-531-4444,http://facebook.com/theatrewesleyan,https://www.instagram.com/texaswesleyan/,MTI,https://www.mtishows.com/shows,performance run,School,2026-08-18
Avenue Q,Univ Of Southern Indiana,Univ Of Southern Indiana,2027-04-22,2027-04-25,theatre.management@usi.edu,Production,"8600 University Boulevard, Usi Theatre Performance Center, Evansville, IN 47712",Evansville,IN,47712,US,https://www.usi.edu/liberal-arts/usi-theatre,+1-812-464-8600,https://www.facebook.com/USIedu,https://www.instagram.com/usiedu/,MTI,https://www.mtishows.com/shows,performance run,School,2026-08-18
Singin' In The Rain Jr.,Applause Studio,Red Curtain Foundation,2027-04-23,2027-04-25,office@redcurtainfoundation.org,Production,"9315 State Ave. #j, Marysville, WA 98270",Marysville,WA,98270,US,http://www.redcurtainfoundation.org,(360) 322-7402,https://www.facebook.com/redcurtainfoundation,https://www.instagram.com/redcurtainarts,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
Something Rotten! Jr.,Bernotas Middle School,Raue Center For The Arts,2027-04-23,2027-04-24,boxoffice@rauecenter.org,Production,"26 N. Williams Street, Crystal Lake, IL 60014",Crystal Lake,IL,60014,US,http://www.rauecenter.org/education,(815) 356-9212,https://www.facebook.com/RaueCenter,https://www.instagram.com/rauecenterforthearts/,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-26
Trolls The Musical Jr.,Dover Middle School,Dover High School,2027-04-23,2027-04-24,communication@doverschools.org,Organizations,"520 N Walnut Street, Dover, OH 44622",Dover,OH,44622,US,,,,,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
The Prince Of Egypt,Enterprise State Community College,Baker Center For The Performing Art,2027-04-23,2027-04-24,admissions@escc.edu,Production,"600 Plaza Drive, Enterprise, AL 36330",Enterprise,AL,36330,US,http://www.escc.edu,(334) 347-2623,https://www.facebook.com/EnterpriseState/,https://www.instagram.com/enterprise_state/,MTI,https://www.mtishows.com/shows,performance run,School,2026-08-18
Fiddler On The Roof,Greensburg Central Catholic High School,The Palace Theatre,2027-04-23,2027-04-24,marketing@wc-trust.org,Production,"21 West Otterman, Greensburg, PA 15601",Greensburg,PA,15601,US,https://westmorelandculturaltrust.org/concerts-events-listing/,(724) 836-1123,https://www.facebook.com/WestmorelandCulturalTrust,https://www.instagram.com/westmorelandculturaltrust/,MTI,https://www.mtishows.com/shows,performance run,School,2026-08-18
Disney's Frozen Jr,Holy Redeemer Catholic School,Holy Redeemer Catholic School,2027-04-23,2027-04-25,info@holyredeemerkissimmee.org,Production,"1800 W. Columbia Ave, Kissimmee, FL 34741",Kissimmee,FL,34741,US,http://holyredeemerkissimmee.org,407-870-9055,https://www.facebook.com/HRCSchool,https://www.instagram.com/hrcskissimmee/,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
Seussical Jr.,Immanuel Christian Academy,Broken Arrow Community Playhouse,2027-04-23,2027-04-25,bacptheatre@aol.com,Production,"1800 S Main Street, Broken Arrow, OK 74012",Broken Arrow,OK,74012,US,http://bacptheatre.com,19182580077,https://www.facebook.com/bacptheatre/,https://www.instagram.com/bacp_theatre/,MTI,https://www.mtishows.com/shows,performance run,School,2026-08-27
Disney's Frozen Jr,Matthews Middle School,Matthews Middle School,2027-04-23,2027-04-25,jpeterson@d118.org,Production,"3500 Darrell Rd., Po Box 920, Island Lake, IL 60042",Island Lake,IL,60042,US,https://www.d118.org/schools/mms,(847) 526-6210,,,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
The Miss Firecracker Contest,Swamplight Theatre,Swamplight Theatre,2027-04-23,2027-05-02,kaybutlerpap@gmail.com,Production,"950 SW Railroad Ave, Ponchatoula, LA",Ponchatoula,LA,,US,http://swamplight.org,985-318-0434,https://www.facebook.com/RogueGastronomy/,https://www.instagram.com/swamplight_theatre/,CONCORD,https://www.concordtheatricals.com/p/14653/the-miss-firecracker-contest,performance run,Amateur,2026-08-18
Come From Away,Theatre Unlimited Performing Arts,Meadowvale Theatre,2027-04-23,2027-05-02,tupamtm@gmail.com,Production,"6315 Montevideo Rd, Mississauga, ON, CA",Mississauga,ON,,CA,http://theatreunlimited.ca,,,,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
Mean Girls,Winsor School,Winsor School,2027-04-23,2027-04-24,admission@winsor.edu,Production,"Pilgrim Road, Boston, MA 02215",Boston,MA,2215,US,http://www.winsor.edu,(617) 735-9500,https://www.facebook.com/winsorschool,https://instagram.com/winsorschool/,MTI,https://www.mtishows.com/shows,performance run,School,2026-08-18
Disney's The Lion King Jr,Paw Paw Middle School,Paw Paw Performing Arts Center,2027-04-24,2027-04-24,alisa.clark@ppps.org,Production,"30609 E Red Arrow Hwy, Paw Paw, MI 49079-8615",Paw Paw,MI,49079-8615,US,http://www.ppps.org,(269) 415-5200,https://www.facebook.com/PawPawPublicSchools,,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
How To Train Your Dragon The Musical Jr.,Spectrum Autism Support Group,Annandale Village Theatre,2027-04-24,2027-04-24,info@spectrumautism.org,Production,"3500 Annandale Lane, Suwanee, GA 30024",Suwanee,GA,30024,US,http://spectrumautism.org,,https://www.facebook.com/AtlantaSpectrum,https://www.instagram.com/spectrumautismsupportgroup/,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
My Three Angels,Engle Lane Theatre,Engle Lane Theatre,2027-04-28,2027-05-02,boxoffice@englelane.org,Production,"1012 Columbus Road, Streator, IL",Streator,IL,,US,http://englelane.org,(815) 672-3584,https://www.facebook.com/englelane,https://www.instagram.com/englelaneofficial/,CONCORD,https://www.concordtheatricals.com/p/98192/my-three-angels,performance run,Amateur,2026-08-27
Into The Woods,Linfield University,Marshall Theatre In Ford Hall,2027-04-28,2027-05-09,admission@linfield.edu,Production,"Linfield University, 900 Se Baker Street A492, Mcminnville, OR 97128",Mcminnville,OR,97128,US,http://www.linfield.edu/arts,(503) 883-2200,https://www.facebook.com/LinfieldUniv/,https://www.instagram.com/linfielduniv/,MTI,https://www.mtishows.com/shows,performance run,School,2026-08-18
Sweeney Todd,Angelina Community Theatre,The Pines Theater,2027-04-29,2027-05-08,admin@angelinaarts.org,Production,"108 S. First Street, Lufkin, TX 75901",Lufkin,TX,75901,US,http://www.angelinaarts.org,(936) 633-5454,https://www.facebook.com/angelina.arts.alliance,https://www.instagram.com/angelinaartsalliance,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
Shrek The Musical Jr,Ann H. Kilgore Gifted Center,Anne H. Kilgore Gifted Center,2027-04-29,2027-05-02,vgray1@hampton.k12.va.us,Production,"339 Woodland Road, Hampton, VA 23669",Hampton,VA,23669,US,http://spr.sbo.hampton.k12.va.us/,(757) 727-2000,,,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
Mean Girls,Assumption College School,Assumption College School,2027-04-29,2027-05-01,bacs_info@bhncdsb.ca,Production,"257 Shellard Lane, Brantford, ON N3T 0M7, CA",Brantford,ON,N3T 0M7,CA,http://www.assumptionlions.com,(519) 751-2030,,,MTI,https://www.mtishows.com/shows,performance run,School,2026-08-18
Shrek The Musical Jr,Barrie School,Barrie School,2027-04-29,2027-05-01,webadmin@barrie.org,Production,"13500 Layhill Rd, Silver Spring, MD 20906",Silver Spring,MD,20906,US,http://www.barrie.org,(301) 576-2800,https://www.facebook.com/barrieschool,http://instagram.com/barrieschool,MTI,https://www.mtishows.com/shows,performance run,School,2026-08-18
Disney's The Little Mermaid,Fremont Christian School,Fremont Christian School,2027-04-29,2027-05-01,admissions@fremontchristian.com,Production,"4760 Thornton Avenue, Fremont, CA 94536",Fremont,CA,94536,US,http://www.fremontchristian.com,(510) 462-7425,https://www.facebook.com/fremontchristianwarriors,https://www.instagram.com/fremontchristianschool/,MTI,https://www.mtishows.com/shows,performance run,School,2026-08-18
The Phantom Tollbooth Jr,Greenleaf Performing Arts Academy,Greenleaf Performing Arts Academy,2027-04-29,2027-05-01,greenleaf@greenleafstudio.org,Production,"11635 Kaw Drive, Kansas City, KS 66111",Kansas City,KS,66111,US,http://greenleafstudio.org,(913) 397-7071,https://www.facebook.com/greenleafperformingarts,https://www.instagram.com/greenleafacademy/,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-26
The Cemetery Club,Horizon Stage,Horizon Stage,2027-04-29,2027-05-01,hstage@sprucegrove.org,Production,"1001 Calahoo, Spruce Grove, AB, CA",Spruce Grove,AB,,CA,http://www.horizonstage.com,(780) 962-8995,https://www.facebook.com/thehorizonstage,https://www.instagram.com/horizonstage/,CONCORD,https://www.concordtheatricals.com/p/2632/the-cemetery-club,performance run,Amateur,2026-08-18
Come From Away,Liberty Center,Liberty Center,2027-04-29,2027-05-02,boxoffice@libertycentersedalia.com,Production,"111 West 5th, Sedalia, MO 65301",Sedalia,MO,65301,US,http://libertycentersedalia.com,(660) 827-3228,http://www.facebook.com/libertycentersedalia,http://instagram.com/lcaasedalia,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
Groundhog Day,River And Woods Theatre Company,Uw Center For Civic Engagement,2027-04-29,2027-05-01,admiss@uwsp.edu,Production,"625 Stewart Ave, Wausau, WI 54401",Wausau,WI,54401,US,https://www.uwsp.edu/wausau/,(715) 346-0123,https://www.facebook.com/UWSPWausau/,https://www.instagram.com/uwspwausau/,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
The Drowsy Chaperone Sr.,Simpsonville Theatre Company,Simpsonville Theatre Company,2027-04-29,2027-05-02,actinguptheatredrama@gmail.com,Production,"110 Academy St, Academy Hall, Simpsonville, SC 29681",Simpsonville,SC,29681,US,https://www.simpsonvilleartscenter.com/,+1-864-399-6635,http://www.facebook.com/actinguptheatrecamp,https://www.instagram.com/actinguptheatreco,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-28
Disney's Descendants,St Andrews Episcopal School(middle School),St. Andrew's Episcopal School,2027-04-29,2027-05-01,collegecounseling@sasaustin.org,Production,"1112 West 31st Street, Austin, TX 78705",Austin,TX,78705,US,http://www.sasaustin.org,(512) 299-9800,https://www.facebook.com/sasaustin.org,https://www.instagram.com/sasaustin/,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-19
Seussical Jr.,St Peter Catholic School,St Peter Catholic School,2027-04-29,2027-05-02,school@stpeterschulte.com,Production,"11010 Southwest Blvd., Wichita, KS 67215",Wichita,KS,67215,US,http://stpeterschulte.com/school,(316) 524-6585,,,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
Newsies,Walnut Hills High School,Walnut Hills High School Auditorium,2027-04-29,2027-05-01,agnellt@cpsboe.k12.oh.us,Production,"3250 Victory Parkway, Cincinnati, OH 45207",Cincinnati,OH,45207,US,http://www.walnuthillseagles.com,(513) 363-8400,,,MTI,https://www.mtishows.com/shows,performance run,School,2026-08-20
Madagascar-a Musical Adventure Kids,Acting Up Carolina,Jennifer Tankersley,2027-04-30,2027-05-01,actingupcarolina@gmail.com,Production,"5501 Hwy 55 East, Clover, SC 29710",Clover,SC,29710,US,http://www.actingupcarolina.com,(704) 313-8228,,,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-25
Puffs (One Act for Young Wizards),Auer Center Black Box Theatre,Auer Center Black Box Theatre,2027-04-30,2027-05-02,lisa@fireandlightproductions.com,Production,"300 E. Main St., Fort Wayne, IN",Fort Wayne,IN,,US,http://fireandlightproductions.com,,http://facebook.com/FnLAcad,https://www.instagram.com/fireandlightproductions/,CONCORD,https://www.concordtheatricals.com/p/65317/puffs-one-act-for-young-wizards,performance run,Amateur,2026-08-18
Disney's The Little Mermaid Jr,Bethany Christian School,Bethany Christian School,2027-04-30,2027-05-01,info@bcslions.org,Production,"93 N Baldwin Ave, Sierra Madre, CA 91024-1901",Sierra Madre,CA,91024-1901,US,http://www.bcslions.org,(626) 355-3527,https://www.facebook.com/bcslions/,https://www.instagram.com/bcslions,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
Mean Girls,Booth Tarkington Civic Theatre,The Tarkington,2027-04-30,2027-05-15,civic@civictheatre.org,Production,"3 Carter Grn, Carmel, IN 46032",Carmel,IN,46032,US,http://www.civictheatre.org,(317) 843-3800,https://www.facebook.com/btcivic/,https://www.instagram.com/civic_theatre/,MTI,https://www.mtishows.com/shows,extended run,Non-Professional,2026-08-18
Disney's Alice In Wonderland Jr.,Cornerstone Preparatory Academy (upper),Cornerstone Prep Academy,2027-04-30,2027-05-01,frontdesk@cornerstoneprep.org,Production,"3588 Hickory Grove Rd, Acworth, GA 30101",Acworth,GA,30101,US,http://www.cornerstoneprep.org,(770) 529-7077,https://www.facebook.com/cornerstone.cpa,https://www.instagram.com/cornerstoneprep/,MTI,https://www.mtishows.com/shows,performance run,School,2026-08-26
Disney's Aladdin Jr.,Dance Zone,Lake Mead Christian Academy,2027-04-30,2027-05-01,registrar@lmcm.org,Production,"540 E. Lake Mead Pkwy, Henderson, NV 89015",Henderson,NV,89015,US,http://lmca.org,(702) 565-5831,http://facebook.com/LakeMeadChristianAcademy,http://www.instagram.com/lmcaeagles,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
Something Rotten!,Hendricks Civic Theatre,Hendricks Live,2027-04-30,2027-05-09,info@hendrickscivic.com,Production,"200 W Main St, Plainfield, IN 46168",Plainfield,IN,46168,US,http://www.hendrickscivic.com,(317) 943-3126,https://www.facebook.com/hendrickscivictheatre,https://www.instagram.com/hendrickscivictheatre/,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
Disney's The Little Mermaid Jr,Impact Theatre Ny Corp.,Our Lady Of Good Counsel,2027-04-30,2027-05-01,alyssa@impacttheatre.org,Production,"42 Austin Place, Staten Island, NY 10304",Staten Island,NY,10304,US,http://www.impacttheatre.org,(347) 983-2064,https://www.google.com/url,https://www.google.com/url,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
Annie Jr,Kalaheo Elementary School,Kalaheo Elementary School,2027-04-30,2027-05-08,pcnc@kalaheoschool.k12.hi.us,Production,"4400 Maka Road, Kalaheo, HI 96741",Kalaheo,HI,96741,US,http://www.kalaheoschool.com,(808) 332-6801,https://www.facebook.com/KalaheoSchoolPtsa/,https://www.instagram.com/kalaheoelementaryptsa/,MTI,https://www.mtishows.com/shows,performance run,School,2026-08-18
Catch Me If You Can,Rider University,Yvonne Theater,2027-04-30,2027-05-02,admissions@rider.edu,Production,"Rider University, 2083 Lawrenceville Road, Lawrenceville, NJ 08648",Lawrenceville,NJ,8648,US,http://www.rider.edu/arts,(609) 896-5000,https://www.facebook.com/RiderUniversity,https://www.instagram.com/rider_university/,MTI,https://www.mtishows.com/shows,performance run,School,2026-08-18
Roald Dahl's Matilda The Musical Jr,United Christian Academy,United Christian Academy,2027-04-30,2027-05-02,mwilliams@ucacademy.org,Production,"10900 Civic Center Dr., Rancho Cucamonga, CA 91730",Rancho Cucamonga,CA,91730,US,http://www.ucacademy.org,(909) 758-8747,https://www.facebook.com/unitedchristianacad,https://www.instagram.com/ucacademy/,MTI,https://www.mtishows.com/shows,performance run,School,2026-08-18
The Hunchback Of Notre Dame,Wayne Densch Performing Arts Center,Wayne Densch Perf Arts Center,2027-04-30,2027-05-09,boxoffice@ritztheatersanford.com,Production,"201-203 South Magnolia Avenue, Sanford, FL 32771",Sanford,FL,32771,US,http://www.ritztheatersanford.com,(407) 732-4008,https://www.facebook.com/ritztheatersanford/about/,https://www.instagram.com/ritztheatersanford/,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
Legally Blonde,Woodstock Academy,Loos Center For The Arts,2027-04-30,2027-05-01,boxoffice@theloos.org,Production,"150 Route 169, Woodstock, CT 06281",Woodstock,CT,6281,US,http://theloos.org,(860) 963-6789,https://www.facebook.com/looscfa,https://www.instagram.com/looscfa,MTI,https://www.mtishows.com/shows,performance run,School,2026-08-18
Honk! Jr,Unity Stage Company,Unity Stage Company,2027-05-01,2027-05-02,unitystagecompany@gmail.com,Production,"34-25 82nd Street, P.s. 212q, Jackson Heights, NY 11372",Jackson Heights,NY,11372,US,http://www.unitystage.org,(917) 548-1086,https://www.facebook.com/unitystagecompany/,https://www.instagram.com/unitystage/,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
The Play That Goes Wrong,Spencer Theatre,Spencer Theatre,2027-05-04,2027-05-23,tickets@kcrep.org,Production,"4949 Cherry St., Kansas City, MO",Kansas City,MO,,US,http://www.kcrep.org,(816) 235-2700,https://www.facebook.com/KCREP,https://www.instagram.com/kcreptheatre/,CONCORD,https://www.concordtheatricals.com/p/98605/the-play-that-goes-wrong,extended run,Professional,2026-08-18
Shrek The Musical,Strathcona Christian Academy Secondary,Strathcona Christian Academy,2027-05-04,2027-05-07,general.scs@eips.ca,Production,"1011 Cloverbar Road, Sherwood Park, AB T8A 4V7, CA",Sherwood Park,AB,T8A 4V7,CA,http://www.scasecondary.ca,(780) 464-7127,https://www.facebook.com/profile.php,https://www.instagram.com/scasecondary/,MTI,https://www.mtishows.com/shows,performance run,School,2026-08-18
Disney's Newsies Jr.,Harker School (lower),Harker Middle School,2027-05-05,2027-05-08,joe.rosenthal@harker.org,Production,"4525 Union Ave, San Jose, CA 95124",San Jose,CA,95124,US,http://www.harker.org,(408) 345-9200,http://facebook.com/harkerschool,http://instagram.com/harkerschool,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-27
Disney's Alice In Wonderland Jr.,Self Express Productions,Freedom Theatre,2027-05-05,2027-05-09,theselfexpress@gmail.com,Production,"1755 Bankhead Highway, Winfield, AL 35594",Winfield,AL,35594,US,http://theselfexpress.org,2052021305,https://www.facebook.com/selfexpressinc/,https://www.instagram.com/self_express_productions/,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
Disney's Moana Jr.,Auburn Bay School,First Alliance Church,2027-05-06,2027-05-06,kim.salcedo@ambrose.edu,Production,"12345 40 Street Se, Calgary, AB T2Z 4E6, CA",Calgary,AB,T2Z 4E6,CA,http://www.faccalgary.com,,https://www.facebook.com/facdeerfoot,https://www.instagram.com/facdeerfoot/,MTI,https://www.mtishows.com/shows,performance run,School,2026-08-18
Fiddler On The Roof,Chippewa Valley Theatre Guild,Jamf Theatre,2027-05-06,2027-05-09,boxoffice@pablocenter.org,Production,"128 Graham Ave, Eau Claire, WI 54701",Eau Claire,WI,54701,US,http://www.pablocenter.org,,https://www.facebook.com/pablocenterec,https://www.instagram.com/pablocenter,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
Roald Dahl's Matilda The Musical Jr,First Presbyterian Academy,First Presbyterian Academy,2027-05-06,2027-05-08,contactus@firstpresgreenville.org,Production,"200 W Washington St, Greenville, SC 29601-2639",Greenville,SC,29601-2639,US,https://www.firstpresgreenville.org/events/signature-events#sig-1386,(864)235-0496,https://www.facebook.com/firstpresgreenville,https://www.instagram.com/firstpresgreenville/,MTI,https://www.mtishows.com/shows,performance run,School,2026-08-18
Disney's Frozen Kids,Hawken Middle School,Hawken School,2027-05-06,2027-05-08,admissions@hawken.edu,Production,"5000 Clubside Rd, Lyndhurst, OH 44124",Lyndhurst,OH,44124,US,http://hawken.edu,(440) 423-4446,http://www.facebook.com/HawkenSchool,https://www.instagram.com/hawkenschool/,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
Disney's The Little Mermaid Jr,Northern Spotlight Theater,Lincoln Park Middle School,2027-05-06,2027-05-08,northernspotlighttheater@gmail.com,Production,"3215 W 3rd Street,, Duluth, MN 55806",Duluth,MN,55806,US,https://northern-spotlight-theater.square.site/,,,,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
How To Train Your Dragon The Musical Jr.,Oaks Christian Middle School,Oaks Christian Middle School,2027-05-06,2027-05-08,info@oakschristian.org,Production,"31749 La Tienda Drive, Westlake Village, CA 91362",Westlake Village,CA,91362,US,http://www.oakschristian.org,(818) 575-9003,https://www.facebook.com/OaksChristianSchool/,https://www.instagram.com/oakschristianschool/,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
Disney's Moana Jr.,St John Notre Dame School,St John Notre Dame School,2027-05-06,2027-05-07,info@sjnds.org,Production,"309 Montrose Drive, Folsom, CA 95630",Folsom,CA,95630,US,http://sjnds.org,(916) 985-4129,https://www.facebook.com/sjndsfolsom,https://www.instagram.com/sjndfolsom/,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
Into The Woods Jr,St Matthew Lutheran School,St Matthew Lutheran School,2027-05-06,2027-05-08,schooloffice@st-matthew.org,Production,"2040 S. Commerce, Walled Lake, MI 48390",Walled Lake,MI,48390,US,http://www.stmatthewlutheranschool.com,(248) 624-7677,https://www.facebook.com/stmatthewlutheranschool,https://www.instagram.com/st.matthewlutheranschoolwl/,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
Junie B. Jones Jr.,United Nations International School,United Nations International School,2027-05-06,2027-05-08,admissions@unis.org,Production,"24-50 F.d.r. Drive, New York, NY 10010",New York,NY,10010,US,http://www.unis.org,(212) 684-7400,https://www.facebook.com/UNISNY/,https://www.instagram.com/unisny/,MTI,https://www.mtishows.com/shows,performance run,School,2026-08-18
The Hallelujah Girls,ACT Playhouse,ACT Playhouse,2027-05-07,2027-05-16,actdalton@gmail.com,Production,"905 Gaston St., Dalton, GA",Dalton,GA,,US,http://www.artisticcivictheatre.com,(706) 278-4796,https://www.facebook.com/ACTDalton,https://www.instagram.com/actdalton/,CONCORD,https://www.concordtheatricals.com/p/14526/the-hallelujah-girls,performance run,Amateur,2026-08-18
Roald Dahl's Matilda The Musical Jr,Derryfield School,Derryfield School,2027-05-07,2027-05-08,admission@derryfield.org,Production,"2108 River Road, Manchester, NH 03104",Manchester,NH,3104,US,http://www.derryfield.org,(603) 669-4524,https://www.facebook.com/thederryfieldschool,https://www.instagram.com/derryfieldlife/,MTI,https://www.mtishows.com/shows,performance run,School,2026-08-18
Urinetown,Gallery Theatre,Gallery Theatre,2027-05-07,2027-05-30,info@gallerytheater.org,Production,"P.o. Box 245, 210 Ne Ford Street, Mcminnville, OR 97128",Mcminnville,OR,97128,US,http://www.gallerytheater.org,(503) 472-2227,https://www.facebook.com/gallerytheater,https://www.instagram.com/gallerytheater,MTI,https://www.mtishows.com/shows,extended run,Non-Professional,2026-08-18
Disney's Newsies Jr.,Immanuel Lutheran Church And School,Immanuel Lutheran Church And School,2027-05-07,2027-05-08,churchsecretary@imlutheran.org,Production,"214 West Fifth Street, Washington, MO 63090",Washington,MO,63090,US,http://www.imlutheran.org,(636) 239-4705,https://www.facebook.com/ILCSWashMO,https://www.instagram.com/ilswashington/,MTI,https://www.mtishows.com/shows,performance run,School,2026-08-18
Disney's The Little Mermaid Jr,K2k Productions,Hope Church,2027-05-07,2027-05-15,letsconnect@hopeinnerkip.ca,Production,"64 Blandford St., Innerkip, ON N0J 1M0, CA",Innerkip,ON,N0J 1M0,CA,http://hopeinnerkip.ca,(519) 469-3904,https://www.facebook.com/hopeinnerkip,https://www.instagram.com/hopeinnerkip/,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
Disney's The Little Mermaid Jr,Kidz Theatre Kompany,Fenton Village Playhouse,2027-05-07,2027-05-16,information@kidztheatrekompany.org,Production,"14197 Torrey Rd., Fenton, MI 48430",Fenton,MI,48430,US,http://kidztheatrekompany.org,(810) 208-9224,https://www.facebook.com/FentonVillagePlayers,,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-26
Annie,Oak Farm Montessori School,Community Learning Center,2027-05-07,2027-05-09,gaslightplayhouse75@gmail.com,Production,"401 E Diamond St, Kendallville, IN 46755",Kendallville,IN,46755,US,http://gaslightplayhouse.org,,,,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
Big Fish: School Edition,The Majestic Theatre,The Majestic Theatre,2027-05-07,2027-05-09,office@derryartscouncil.org,Production,"Derry, NH",Derry,NH,,US,http://derryoperahouse.org,+16034042928,https://www.facebook.com/ArtsOnWestBroadway,https://www.instagram.com/derryoperahouse/,TRW,https://www.theatricalrights.com/show/big-fish-school-edition/,performance run,,2026-08-18
Shrek The Musical,Arlington Friends Of The Drama,Arlington Friends Of The Drama,2027-05-08,2027-05-23,info@afdtheatre.org,Production,"22 Academy Street, Arlington, MA 02476",Arlington,MA,2476,US,http://www.afdtheatre.org/,(781) 646-5922,https://www.facebook.com/AFDTheatre/,https://www.instagram.com/arlingtonfriendsofthedrama,MTI,https://www.mtishows.com/shows,extended run,Non-Professional,2026-08-18
The Music Man,Center Theatre For The Performing Arts Inc,Center Theatre,2027-05-08,2027-05-16,info@centertheatre.org,Production,"20 East Main Street, Dover Foxcroft, ME 04426",Dover Foxcroft,ME,4426,US,http://www.centertheatre.org,(207) 564-8943,https://www.facebook.com/centertheatre,,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-26
Disney's The Little Mermaid Kids,Edge Dance And Performing Arts Center,Edge Dance Black Box,2027-05-08,2027-05-08,markth@plano.gov,Production,"4101 E Park Blvd #101, Plano, TX 75074",Plano,TX,75074,US,http://www.edgedance.com,972-941-5600,https://www.facebook.com/visitplano,https://www.instagram.com/visitplano/,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
Sunset Boulevard (Lloyd Webber),Lewis Family Playhouse,Lewis Family Playhouse,2027-05-08,2027-05-09,boxoffice@cityofrc.us,Production,"12505 Cultural Center Drive, Rancho Cucamonga, CA",Rancho Cucamonga,CA,,US,https://lewisfamilyplayhouse.com/,(909) 477-2752,https://www.facebook.com/lewisfamilyplayhouse/,https://www.instagram.com/lewisfamilyplayhouse/,CONCORD,https://www.concordtheatricals.com/p/44761/sunset-boulevard-lloyd-webber,performance run,Amateur,2026-08-18
Seussical Jr.,Youth Entertainment Series/morgan Wixson,Youth Entertainment Series,2027-05-08,2027-05-23,hollister@morgan-wixson.org,Production,"2627 Pico Blvd, Santa Monica, CA 90405",Santa Monica,CA,90405,US,https://www.morgan-wixson.org/,(310) 828-7519,https://www.facebook.com/MorganWixson/,https://www.instagram.com/morganwixson/,MTI,https://www.mtishows.com/shows,extended run,Non-Professional,2026-08-18
